datetime,pollen_utsunomiya,pollen_chiba,pollen_tokyo
2020040101,0.0,8.0,0.0
2020040102,0.0,8.0,0.0
2020040103,4.0,8.0,4.0
2020040104,4.0,8.0,4.0
2020040105,4.0,8.0,4.0
2020040106,4.0,4.0,4.0
2020040107,4.0,4.0,4.0
2020040108,4.0,0.0,4.0
2020040109,4.0,4.0,0.0
2020040110,4.0,4.0,4.0
2020040111,4.0,4.0,0.0
2020040112,0.0,0.0,0.0
2020040113,0.0,0.0,0.0
2020040114,0.0,0.0,0.0
2020040115,0.0,0.0,0.0
2020040116,0.0,0.0,0.0
2020040117,0.0,0.0,0.0
2020040118,0.0,0.0,0.0
2020040119,0.0,0.0,0.0
2020040120,0.0,0.0,0.0
2020040121,0.0,0.0,0.0
2020040122,0.0,0.0,0.0
2020040123,0.0,0.0,0.0
2020040124,0.0,0.0,0.0
2020040201,0.0,0.0,0.0
2020040202,0.0,0.0,0.0
2020040203,4.0,4.0,0.0
2020040204,0.0,4.0,0.0
2020040205,8.0,4.0,4.0
2020040206,8.0,4.0,4.0
2020040207,4.0,12.0,4.0
2020040208,12.0,8.0,4.0
2020040209,12.0,20.0,4.0
2020040210,12.0,16.0,4.0
2020040211,12.0,16.0,4.0
2020040212,12.0,16.0,4.0
2020040213,12.0,16.0,4.0
2020040214,12.0,16.0,4.0
2020040215,12.0,16.0,8.0
2020040216,12.0,16.0,8.0
2020040217,12.0,12.0,8.0
2020040218,12.0,16.0,8.0
2020040219,12.0,16.0,8.0
2020040220,8.0,12.0,4.0
2020040221,8.0,8.0,4.0
2020040222,12.0,8.0,4.0
2020040223,8.0,8.0,4.0
2020040224,8.0,8.0,4.0
2020040301,8.0,8.0,4.0
2020040302,4.0,8.0,8.0
2020040303,8.0,4.0,4.0
2020040304,8.0,4.0,4.0
2020040305,4.0,4.0,4.0
2020040306,4.0,8.0,8.0
2020040307,4.0,8.0,8.0
2020040308,8.0,12.0,8.0
2020040309,8.0,8.0,4.0
2020040310,8.0,8.0,8.0
2020040311,12.0,12.0,8.0
2020040312,12.0,12.0,8.0
2020040313,12.0,16.0,8.0
2020040314,12.0,12.0,8.0
2020040315,12.0,12.0,8.0
2020040316,12.0,8.0,4.0
2020040317,16.0,8.0,4.0
2020040318,12.0,12.0,4.0
2020040319,12.0,8.0,4.0
2020040320,12.0,4.0,4.0
2020040321,12.0,4.0,4.0
2020040322,8.0,8.0,4.0
2020040323,8.0,8.0,4.0
2020040324,8.0,4.0,4.0
2020040401,8.0,4.0,8.0
2020040402,8.0,4.0,4.0
2020040403,8.0,4.0,4.0
2020040404,8.0,8.0,4.0
2020040405,8.0,4.0,8.0
2020040406,8.0,12.0,8.0
2020040407,8.0,12.0,8.0
2020040408,8.0,20.0,8.0
2020040409,8.0,16.0,8.0
2020040410,12.0,8.0,8.0
2020040411,12.0,12.0,8.0
2020040412,12.0,16.0,8.0
2020040413,12.0,12.0,8.0
2020040414,12.0,12.0,8.0
2020040415,12.0,12.0,8.0
2020040416,12.0,8.0,8.0
2020040417,12.0,8.0,4.0
2020040418,12.0,4.0,4.0
2020040419,12.0,4.0,4.0
2020040420,12.0,4.0,8.0
2020040421,8.0,4.0,4.0
2020040422,12.0,4.0,8.0
2020040423,12.0,4.0,8.0
2020040424,12.0,4.0,4.0
2020040501,12.0,4.0,4.0
